exercise;ability;image;video;description;sets;focus;intensity
L drill;Agility;/images/l-drill.png;https://player.vimeo.com/video/1009891051?h=04ed41876e&autoplay=1;Three cones are placed on the ground in an "L" shape.  5 meters between cones. Start: The athlete starts at the first cone.;Sets: 4 x 1 runs;Agility;4
T test;Agility;/images/t-test.png;https://player.vimeo.com/video/1009889393?h=17174dd285&autoplay=1;Four cones are arranged in a "T" shape. The athlete sprints 10 yards forward to cone B and goes around it and heads to cone C. The athlete goes around cone C and heads all the way to cone D where they go around the cone and head back to cone Bwhere they go around and head back to the start.;Sets: 4 x 1 runs;Agility;4
5 0 5;Agility;/images/5-0-5.png;https://player.vimeo.com/video/1009884148?h=f78edf1e3d&autoplay=1;Three cones are placed on the ground. Start is 10 meters away from two cones that are 5 meters a part. he athlete starts 10 meters behind Cone B, sprinting forward past Cone B. This starting distance allows the athlete to reach full speed before beginning the test. As soon as the athlete passes Cone B, they quickly change direction and sprint back 5 meters to the starting line (Cone A). The time is recorded from when the athlete passes Cone B until they cross the finish line.;Sets: 5 x 1 runs;Agility;4
Arrowhead;Agility;/images/arrowhead.png;https://player.vimeo.com/video/1009903972?h=63cc5105e6&autoplay=1;The athlete begins at Cone A in a low, athletic stance, ready to move. On the signal, the athlete sprints diagonally forward to Cone B (to the left). Upon reaching Cone B, the athlete quickly changes direction and sprints across to Cone D (diagonally to the right). After reaching Cone D, the athlete changes direction once more and sprints straight back through Cone A (where they started).;Sets: 4 x 1 runs;Agility;5
Pro agility drill;Agility;/images/pro-agility-drill.png;https://player.vimeo.com/video/1009905895?h=06bd3a8f54&autoplay=1;Three cones are placed in a straight line, each 5 meters apart. The athlete begins in a three-point stance at the middle cone (Cone A), ready to move laterally. the athlete sprints 5 yards to one side, touching the line at the first cone (either Cone B or Cone C). The athlete then quickly changes direction and sprints 10 yards to the opposite cone (from Cone B to Cone C or vice versa), touching the line at that cone. After touching the line, the athlete changes direction again and sprints 5 yards back to the middle cone (Cone A), which is the finish line;Sets: 4 x 1 runs;Agility;5
Pogo jumps forward;Speed;/images/pogo-jumps-forward.png;https://player.vimeo.com/video/1009858266?h=fb58dd55f8&autoplay=1;Stand upright with your feet together. Perform quick, repetitive vertical jumps to move forward, using mainly your ankles and calves to generate the force. Your knees should remain relatively straight but not locked, allowing for rapid and minimal bending during the jumps;Sets: 2 x 20m;Acceleration;4
Single leg pogo jumps;Speed;/images/single-leg-pogo-jumps.png;https://player.vimeo.com/video/1009861614?h=61c9cf479f&autoplay=1;Stand on one leg with your knee slightly bent and the other leg lifted off the ground. Use your standing leg to perform quick, small hops vertically off the ground. Keep the movement rapid, using primarily your ankle and calf muscles to generate the force;Sets: 2 x 10 sec (both sides);Acceleration;4
Single leg bounding;Speed;/images/single-leg-bounding.png;https://player.vimeo.com/video/1009863626?h=c93ab571f6&autoplay=1;stand on one leg, push off and jump forward as far as you can. Try to land and keep Keep bounding forward, like you’re in slow motion but with big, bouncy steps;Sets: 2 x 20m;Acceleration;4
Single leg broad jump;Speed;/images/single-leg-broad-jump.png;https://player.vimeo.com/video/1009865068?h=d7c64788df&autoplay=1;stand on one leg. when ready push of the ground explosivly as hard as you can and try to jump as far as you can. Land on your leg and try to keep you balance and not fall backwards;Sets: 5 x 1 jump (both sides);Acceleration;4
Broad jump;Speed;/images/broad-jump.png;https://player.vimeo.com/video/1009869191?h=4ee2337fdb&autoplay=1;Stand with feet together, when ready push of the ground explosivly as hard as you can and try to jump as far as you can. Land on both fet and try to keep you balance and not fall backwards;Sets: 4 x 3 jumps;Acceleration;4
Squat jumps;Speed;/images/squat-jumps.png;https://player.vimeo.com/video/1009872555?h=fe484e732a&autoplay=1;Stand with your feet shoulder-width apart, toes pointing slightly outward. Lower into a squat by bending your knees and pushing your hips back. rom the squat position, explode upwards into a jump, extending your hips, knees, and ankles fully;Sets: 3  x 6 jumps;Acceleration;4
Cone drills fast feet 1 step;Speed;/images/cone-drills-fast-feet-1.png;https://player.vimeo.com/video/1009874445?h=c418257b94&autoplay=1;Set up cones in line (4-6 cones),  20cm apart, Begin at one end faceing forward. rapidly tapping each foot into the space between each cone. Move your feet as fast as you can  steping only 1x inbetween each cone without touching the cones;Sets: 4 x 1 runs;Speed;3
Cone drills front zigzag;Agility;/images/cone-drills-front-zigzag.png;https://player.vimeo.com/video/1009908853?h=12201d0573&autoplay=1;Set up cones in line (4-6 cones),  20cm apart. Begin at one end faceing forward.  Move smoothly between the cones in a zigzag motion to the sides going through all of the cones as fast as possible.;Sets: 4 x 1 runs;Agility;3
Cone drills side zigzag;Agility;/images/cone-drills-side-zigzag.png;https://player.vimeo.com/video/1009910250?h=037c27b30c&autoplay=1;Set up cones in line (4-6 cones),  20cm apart. Begin by faceing sideways. Move smoothly between the cones in a zigzag motion (forward and backwards)  going through all of the cones as fast as possible.;Sets: 4 x 1 runs;Agility;3
Side pogo jumps;Agility;/images/side-pogo-jumps.png;https://player.vimeo.com/video/1010141191?h=e81a7f591f&autoplay=1;Stand upright with your feet together. Perform quick, repetitive vertical jumps to move laterally, using mainly your ankles and calves to generate the force. Your knees should remain relatively straight but not locked, allowing for rapid and minimal bending during the jumps;Sets: 2 x 20m;Acceleration;4
Zigzag bounding;Agility;/images/zigzag-bounding.png;https://player.vimeo.com/video/1010143002?h=1a43dd4891&autoplay=1;Bound diagonally in a zigzag pattern, pushing off explosively from one leg to the other, covering both distance and direction changes;Sets: 2 x 20m;Acceleration;4
Cone drills side fast feet 2 step;Agility;/images/cone-drills-side-high-knees.png;https://player.vimeo.com/video/1010146992?h=70d7606f78&autoplay=1;Set up cones in line (4-6 cones),  20cm apart. Begin by faceing sideways.  Rapidly tapping each foot into the space between each cone. Move your feet as fast as you can steping 2x (1x with each leg) inbetween each cone without touching the cones;Sets: 4 x 1 runs;Agility;3
Cone drills fast feet 2 step;Agility;/images/cone-drills-fast-feet-2.png;https://player.vimeo.com/video/1010239449?h=998da1b782&autoplay=1;Set up cones in line (4-6 cones),  20cm apart. Begin at one end faceing forward. Rapidly tapping each foot into the space between each cone. Move your feet as fast as you can steping 2x (1x with each leg) inbetween each cone without touching the cones;Sets: 4 x 1 runs;Agility;3
Toe taps on the spot;Dribbling;/images/toe-taps-ots.png;https://player.vimeo.com/video/1010651862?h=0c376bcc3e&autoplay=1;Rapidly tap the top of the ball with the toes of each foot, alternating feet while standing in place.;Sets: 4 x 20sec;Dribbling;1
Side taps on the spot;Dribbling;/images/side-taps-ots.png;https://player.vimeo.com/video/1010646389?h=750b0cd19e&autoplay=1;Alternate tapping the inside of the ball with the inside of each foot while keeping the ball in place.;Sets: 4 x 20sec;Dribbling;1
Rollover on the spot;Dribbling;/images/rollover-ots.png;https://player.vimeo.com/video/1010892324?h=352787ef3b&autoplay=1;Drag the ball back using the sole of the foot while maintaining balance.;Sets: 4 x 20sec (each foot);Dribbling;1
Toe taps forward;Dribbling;/images/toe-taps-forward.png;https://player.vimeo.com/video/1010894989?h=110a9677a4&autoplay=1;Rapidly tap the top of the ball with the toes of each foot, alternating feet while moving forwards.;Sets: 4 z 10m;Dribbling;1
Toe taps backward;Dribbling;/images/toe-taps-backward.png;https://player.vimeo.com/video/1010897340?h=2cfe1f7d78&autoplay=1;Rapidly tap the top of the ball with the toes of each foot, alternating feet while moving backwards.;Sets: 4 x 10m;Dribbling;1
Side taps forward;Dribbling;/images/side-taps-forward.png;https://player.vimeo.com/video/1010900314?h=f35bc7dca5&autoplay=1;Alternate tapping the inside of the ball with the inside of each foot while moving forwards.;Sets: 4 x 10m;Dribbling;1
Side taps backward;Dribbling;/images/side-taps-backward.png;https://player.vimeo.com/video/1010905105?h=48e0ff1156&autoplay=1;Alternate tapping the inside of the ball with the inside of each foot while moving backwards.;Sets: 4 x 10m;Dribbling;1
In and out on the spot;Dribbling;/images/in-and-out-ots.png;https://player.vimeo.com/video/1010908131?h=9139421b95&autoplay=1;Alternate tapping of the ball with the feet, start with the outside of the right foot and push the ball right then push the ball back in with the inside of the right foot then keep pushing the ball to the left with the outside of the left foot then push the ball back in with the inside of the left foot while keeping the ball in place. Continue for set reps;Sets: 4 x 20sec;Dribbling;1
In and out on the move;Dribbling;/images/in-and-out-otm.png;https://player.vimeo.com/video/1010910535?h=2bbc642c5e&autoplay=1;Alternate tapping of the ball with the feet, start with the outside of the right foot and push the ball right then push the ball back in with the inside of the right foot then keep pushing the ball to the left with the outside of the left foot then push the ball back in with the inside of the left foot while moving forward. Continue for set reps;Sets: 4 x 10m;Dribbling;1
Rollover with stops on the spot;Dribbling;/images/rollover-with-stops-ots.png;https://player.vimeo.com/video/1010913520?h=6086688da2&autoplay=1;Drag the ball back using the sole of the foot, use the other to stop the ball in beetwen drags;Sets: 4 x 20sec;Dribbling;1
Rollover on the move;Dribbling;/images/rollover-otm.png;https://player.vimeo.com/video/1010915656?h=a539759bf6&autoplay=1;Drag the ball back using the sole of the foot while moving forward;Sets: 4 x 10m;Dribbling;1
Rollover with stops on the move;Dribbling;/images/rollover-with-stops-otm.png;https://player.vimeo.com/video/1010917543?h=3835482650&autoplay=1;Drag the ball back using the sole of the foot, use the other to stop the ball in beetwen drags while moving forward;Sets: 4 x 10m;Dribbling;1
Turn shot fake;Dribbling;/images/turn-shot-fake.png;https://player.vimeo.com/video/1010919827?h=cca1a7e2ab&autoplay=1;Dribble the ball then quikly  turn in the opsite direction by performing a shot fake, pretend like you are about to shoot the ball but then at the last minute scoop it in the other direction;Sets: 4 x 8 times;Dribbling;2
Turn step over;Dribbling;/images/turn-step-over.png;https://player.vimeo.com/video/1010921583?h=4aac030fd2&autoplay=1;Dribble the ball then quikly  turn in the opsite direction by performing a step over. Step over the ball and scoop it with the outside of the same foot in the other direction;Sets: 4 x 8 times;Dribbling;2
Turn Drag with rainbow flick;Dribbling;/images/turn-drag-with-rainbow-flick.png;https://player.vimeo.com/video/1010926821?h=672526c626&autoplay=1;Dribble the ball then quikly  turn in the opsite direction by performing a drag w rainbow flick. Quicly stop and drag the ball back torwards yourself and with the other foot flick it up, quikly turn you body to face the other direction and pop the ball over your head with the heel of your foot.;Sets: 4 x 8 times;Dribbling;4
